BranchNum,FID,kv_from,kv_to,tap,Lat1,Lat2,Lon1,Lon2,Length
5100,5279,66,66,0,36.33466319,36.30601503,-119.2604728,-119.2607671,1.981924807
5101,5280,66,66,0,36.30601503,36.30552678,-119.2607671,-119.2608621,0.043708272
5102,5281,66,66,0,36.30601503,36.30589703,-119.2607671,-119.2517081,0.506539746
5103,5282,66,66,0,36.32730708,36.32674243,-119.2786991,-119.2518153,1.558394213
5104,5283,66,66,0,36.34137608,36.31262736,-119.3672806,-119.3674487,2.022918665
5105,5284,66,66,0,36.31262736,36.28369455,-119.3674487,-119.3671282,1.995043287
5106,5285,66,66,0,36.28369455,36.28382177,-119.3671282,-119.331239,2.003515224
5107,5286,66,66,0,36.28382177,36.28307791,-119.331239,-119.3321574,0.092815477
5108,5287,66,66,0,36.28369455,36.28344059,-119.3671282,-119.4477625,4.501397235
5109,5288,66,66,0,36.31262736,36.31310894,-119.3674487,-119.3121689,3.088337669
5110,5289,66,66,0,36.31310894,36.3176857,-119.3121689,-119.3121681,0.315586797
5111,5290,66,66,0,36.3176857,36.31853504,-119.3121681,-119.3117235,0.106846816
5112,5291,66,66,0,36.3176857,36.32018748,-119.3121681,-119.2875021,1.560435266
5113,5292,66,66,0,36.32018748,36.32005962,-119.2875021,-119.2829496,0.26704922
5114,5293,66,66,0,36.32018748,36.33454328,-119.2875021,-119.283418,1.241563517
5115,5294,66,66,0,36.33454328,36.32982895,-119.283418,-119.2787393,0.580518967
5116,5295,66,66,0,36.33454328,36.34187216,-119.283418,-119.261134,1.745595616
5117,5296,66,66,0,36.31310894,36.31273499,-119.3121689,-119.2828476,1.640229903
5118,5297,66,66,0,36.41415194,36.4139433,-119.2512599,-119.1891188,3.463297278
5119,5298,66,66,0,36.4139433,36.41429483,-119.1891188,-119.1891356,0.031112183
5120,5299,66,66,0,36.4139433,36.3271714,-119.1891188,-119.1979498,6.508376162
5121,5300,66,66,0,36.3271714,36.31210895,-119.1979498,-119.1982259,1.0387769
5122,5301,66,66,0,36.31210895,36.3123691,-119.1982259,-119.2245816,1.470942283
5123,5302,66,66,0,36.29980027,36.30430544,-119.2249742,-119.2445802,1.394849898
5124,5303,66,66,0,36.3123691,36.29980027,-119.2245816,-119.2249742,0.877174149
5125,5304,66,66,0,36.28382177,36.28368636,-119.331239,-119.2473257,4.697846246
5126,5305,66,66,0,36.28368636,36.29280345,-119.2473257,-119.2474734,0.628937826
5127,5306,66,66,0,36.29845225,36.30551753,-119.2610942,-119.2604203,0.503723193
5128,5307,66,66,0,36.30429919,36.3123691,-119.2445519,-119.2245816,1.651018791
5129,5308,66,66,0,36.32537032,36.32595654,-119.1345994,-119.1344783,0.052558246
5130,5309,66,66,0,36.32595654,36.32596403,-119.1344783,-119.1347187,0.017141858
5131,5310,66,66,0,36.32501756,36.31202066,-119.1705592,-119.1711924,0.898531397
5132,5311,66,66,0,36.31202066,36.29770123,-119.1711924,-119.1720656,0.988548378
5133,5312,66,66,0,36.29770123,36.29980027,-119.1720656,-119.2249742,3.080881183
5134,5313,66,66,0,36.32596403,36.32501756,-119.1347187,-119.1705592,2.024462568
5135,5314,66,66,0,36.32596403,36.38670269,-119.1347187,-119.0263491,9.478729553
5136,5315,66,66,0,36.29770123,36.31166643,-119.1720656,-119.1366294,2.920445511
5137,5316,66,66,0,36.31202066,36.31210895,-119.1711924,-119.1982259,1.508990902
5138,5317,66,66,0,36.32501756,36.3271714,-119.1705592,-119.1979498,1.644448325
5139,5318,66,66,0,36.32595949,36.21059691,-119.1344782,-119.0961293,10.15526187
5140,5319,66,66,0,36.21059691,36.21067393,-119.0961293,-119.0933007,0.158143028
5141,5320,66,66,0,36.21067393,36.20430092,-119.0933007,-119.09202,0.45520061
